,,COAHUILA DE ZARAGOZA,VIESCA,15.98,17.74,16.89,
,,,SAN PEDRO,15.98,17.74,16.89,
,,,FRANCISCO I MADERO,15.98,17.74,16.89,
,,,MATAMOROS,15.98,17.74,16.89,
,,,TORREON,15.98,17.74,16.89,
19.0,GUADALAJARA,ZACATECAS,TEUL DE GONZALEZ ORTEGA,16.28,18.21,16.93,
,,,BENITO JUAREZ,16.28,18.21,16.93,
,,JALISCO,ATENGUILLO,16.28,18.21,16.93,
,,,CONCEPCION DE BUENOS AIRES,16.28,18.21,16.93,
,,,LA MANZANILLA DE LA PAZ,16.28,18.21,16.93,
,,,EL GRULLO,16.28,18.21,16.93,
,,,TAMAZULA DE GORDIANO,16.28,18.21,16.93,
,,,AYUTLA,16.28,18.21,16.93,
,,,UNION DE TULA,16.28,18.21,16.93,
,,,ATENGO,16.28,18.21,16.93,
,,,TAPALPA,16.28,18.21,16.93,
,,,CHIQUILISTLAN,16.28,18.21,16.93,
,,,JUCHITLAN,16.28,18.21,16.93,
,,,TENAMAXTLAN,16.28,18.21,16.93,
,,,ZAPOTLAN EL GRANDE,16.28,18.21,16.93,
,,,MIXTLAN,16.28,18.21,16.93,
,,,GOMEZ FARIAS,16.28,18.21,16.93,
,,,TEOCUITATLAN DE CORONA,16.28,18.21,16.93,
,,,TECOLOTLAN,16.28,18.21,16.93,
,,,SAN GABRIEL,16.28,18.21,16.93,
,,,SAYULA,16.28,18.21,16.93,
,,,ATEMAJAC DE BRIZUELA,16.28,18.21,16.93,
,,,SAN MARTIN HIDALGO,16.28,18.21,16.93,
,,,SAN MARCOS,16.28,18.21,16.93,
,,,CUQUIO,16.28,18.21,16.93,
,,,TECHALUTA DE MONTENEGRO,16.28,18.21,16.93,
,,,AMECA,16.28,18.21,16.93,
,,,SAN JUANITO DE ESCOBEDO,16.28,18.21,16.93,
,,,ETZATLAN,16.28,18.21,16.93,
,,,MAGDALENA,16.28,18.21,16.93,
,,,COCULA,16.28,18.21,16.93,
,,,IXTLAHUACAN DEL RIO,16.28,18.21,16.93,
,,,AHUALULCO DE MERCADO,16.28,18.21,16.93,
,,,TEQUILA,16.28,18.21,16.93,
,,,VILLA CORONA,16.28,18.21,16.93,
,,,TEUCHITLAN,16.28,18.21,16.93,
,,,ACATLAN DE JUAREZ,16.28,18.21,16.93,
,,,AMATITAN,16.28,18.21,16.93,
,,,TALA,16.28,18.21,16.93,
,,,TLAJOMULCO DE ZUÑIGA,16.28,18.21,16.93,
,,,TONALA,16.28,18.21,16.93,
,,,EL ARENAL,16.28,18.21,16.93,
,,,GUADALAJARA,16.28,18.21,16.93,
,,,SAN PEDRO TLAQUEPAQUE,16.28,18.21,16.93,
20.0,GUAMUCHIL,SINALOA,GUASAVE,16.04,17.79,16.99,
,,,ANGOSTURA,16.04,17.79,16.99,
,,,MOCORITO,16.04,17.79,16.99,
,,,SALVADOR ALVARADO,16.04,17.79,16.99,
23.0,IGUALA,GUERRERO,TIXTLA DE GUERRERO,15.82,17.58,16.74,
,,,LEONARDO BRAVO,15.82,17.58,16.74,
,,,CHILPANCINGO DE LOS BRAVO,15.82,17.58,16.74,
,,,ATENANGO DEL RIO,15.82,17.58,16.74,
,,,APAXTLA,15.82,17.58,16.74,
,,,MOCHITLAN,15.82,17.58,16.74,
,,,EDUARDO NERI,15.82,17.58,16.74,
,,,TELOLOAPAN,15.82,17.58,16.74,
,,,TAXCO DE ALARCON,15.82,17.58,16.74,
,,,HUITZUCO DE LOS FIGUEROA,15.82,17.58,16.74,
,,,BUENAVISTA DE CUELLAR,15.82,17.58,16.74,
,,,TEPECOACUILCO DE TRUJANO,15.82,17.58,16.74,
,,,COCULA,15.82,17.58,16.74,
,,,IGUALA DE LA INDEPENDENCIA,15.82,17.58,16.74,
24.0,IRAPUATO,GUANAJUATO,YURIRIA,16.01,17.75,16.92,
,,,PENJAMO,16.01,17.75,16.92,
,,,HUANIMARO,16.01,17.75,16.92,
,,,GUANAJUATO,16.01,17.75,16.92,
,,,CUERAMARO,16.01,17.75,16.92,
,,,VALLE DE SANTIAGO,16.01,17.75,16.92,
,,,SILAO DE LA VICTORIA,16.01,17.75,16.92,
,,,ABASOLO,16.01,17.75,16.92,
,,,PUEBLO NUEVO,16.01,17.75,16.92,
,,,SALAMANCA,16.01,17.75,16.92,
,,,IRAPUATO,16.01,17.75,16.92,
25.0,JALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,NAOLINCO,15.45,17.21,16.36,
,,,TEOCELO,15.45,17.21,16.36,
,,,ACAJETE,15.45,17.21,16.36,
,,,EMILIANO ZAPATA,15.45,17.21,16.36,
,,,XICO,15.45,17.21,16.36,
,,,XALAPA,15.45,17.21,16.36,
,,,BANDERILLA,15.45,17.21,16.36,
,,,COATEPEC,15.45,17.21,16.36,
,,,JILOTEPEC,15.45,17.21,16.36,
,,,RAFAEL LUCIO,15.45,17.21,16.36,
26.0,JUAREZ,CHIHUAHUA,PRAXEDIS G GUERRERO,15.57,17.77,16.68,
,,,GUADALUPE,15.57,17.77,16.68,
,,,JUAREZ,15.57,17.77,16.68,
27.0,LA PAZ,BAJA CALIFORNIA SUR,COMONDU,15.86,17.61,16.76,
,,,LOS CABOS,15.86,17.61,16.76,
,,,LA PAZ,15.86,17.61,16.76,
28.0,LAZARO CARDENAS,MICHOACÁN DE OCAMPO,ARTEAGA,15.77,17.52,16.67,
,,,LAZARO CARDENAS,15.77,17.52,16.67,
